City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
404,North Bend,43.4065,-124.2243,60.01,67,90,11.5
405,Turukhansk,65.8167,87.9833,-41.3,81,17,3.02
406,Kushiro,42.975,144.3747,10.4,72,20,4.61
407,Yarada,17.65,83.2667,69.8,100,20,2.3
408,Erenhot,43.6475,111.9767,-9.89,85,22,7.11
409,The Valley,18.217,-63.0578,78.8,73,40,6.91
410,Caravelas,-17.7125,-39.2481,76.96,84,0,5.79
411,Santa Cecilia,-26.9608,-50.4269,61.63,94,96,7.72
412,Grand-Santi,4.25,-54.3833,72.5,97,88,2.77
413,Hami,42.8,93.45,13.19,81,1,7.83
414,Thompson,55.7435,-97.8558,26.6,93,90,12.66
415,Codrington,-38.2667,141.9667,57.96,61,48,24.54
416,Ahipara,-35.1667,173.1667,73.09,57,1,7.2
417,Breytovo,58.2993,37.8617,-3.32,92,100,9.53
418,San Vicente,-26.6167,-54.1333,73.35,78,8,5.48
419,Kallithea,37.95,23.7,55.0,71,75,10.85
420,Aklavik,68.2191,-135.0107,-4.0,77,77,2.3
421,Slupca,52.2873,17.8719,22.23,98,42,6.24
422,Pine Bluff,34.2284,-92.0032,55.4,47,20,8.05
423,Ostrovnoy,68.0531,39.5131,-0.06,93,61,20.42
424,Hun,29.1268,15.9477,49.66,58,0,3.06
425,Zinacantan,16.75,-92.7,78.8,53,75,9.22
426,Kilifi,-3.6305,39.8499,75.13,87,5,4.83
427,Nhulunbuy,-12.2333,136.7667,80.6,89,75,5.75
428,Cruzeiro Do Sul,-29.5128,-51.9853,68.0,78,0,5.28
429,Idenao,4.2475,9.0047,75.2,83,20,6.91
430,Padang,-0.9492,100.3543,76.98,72,77,4.14
431,Guangyuan,32.442,105.823,32.0,59,0,3.58
432,Mandera,3.9366,41.867,74.64,64,6,10.54
433,Inhambane,-23.865,35.3833,79.48,86,1,7.02
434,Rocky Mountain House,52.3668,-114.9188,30.2,43,0,3.44
435,Xinyu,27.8043,114.9334,47.82,52,0,1.3
436,Nalut,30.3333,10.85,44.98,56,0,5.44
437,Matamoros,25.5333,-103.25,71.6,13,1,2.39
438,Nagato,34.3833,131.2,44.6,93,75,6.91
439,Marsabit,2.3284,37.9899,67.21,61,0,7.23
440,Tamandare,-8.7597,-35.1047,78.26,79,20,9.33
441,Saint-Georges,12.0564,-61.7485,80.6,78,20,17.27
442,Lincoln,40.8,-96.667,41.0,41,100,10.0
443,Abha,18.2164,42.5053,48.2,87,0,3.31
